seed,algo,threads,n,m,mst_edges,rounds,total_weight,wall_ms
42,kruskal,1,1000,13767,999,0,43.395280676948126,0.737375
42,prim,1,1000,13767,999,0,43.39528067694814,1.134041
42,boruvka_seq,1,1000,13767,999,5,43.395280676948154,0.498459
42,boruvka_omp,1,1000,13767,999,5,43.395280676948154,1.385292
43,kruskal,1,1000,13728,999,0,42.892353113458185,0.797333
43,prim,1,1000,13728,999,0,42.892353113458149,1.128750
43,boruvka_seq,1,1000,13728,999,4,42.892353113458235,0.405375
43,boruvka_omp,1,1000,13728,999,4,42.892353113458235,0.946958
44,kruskal,1,1000,13918,999,0,40.763888251452222,0.764458
44,prim,1,1000,13918,999,0,40.763888251452251,1.200083
44,boruvka_seq,1,1000,13918,999,5,40.763888251452286,0.528125
44,boruvka_omp,1,1000,13918,999,5,40.763888251452286,0.763333
45,kruskal,1,1000,13697,999,0,46.594022383337752,0.757000
45,prim,1,1000,13697,999,0,46.59402238333778,1.175208
45,boruvka_seq,1,1000,13697,999,4,46.594022383337816,0.416250
45,boruvka_omp,1,1000,13697,999,4,46.594022383337816,0.653542
46,kruskal,1,1000,13798,999,0,45.944970941180351,0.789042
46,prim,1,1000,13798,999,0,45.944970941180365,1.173375
46,boruvka_seq,1,1000,13798,999,5,45.944970941180379,0.502333
46,boruvka_omp,1,1000,13798,999,5,45.944970941180379,0.718042
42,kruskal,1,10000,184724,9999,0,326.04267507160711,13.137375
42,prim,1,10000,184724,9999,0,326.04267507160699,21.916792
42,boruvka_seq,1,10000,184724,9999,6,326.04267507160745,6.709583
42,boruvka_omp,1,10000,184724,9999,6,326.04267507160745,5.212000
43,kruskal,1,10000,184354,9999,0,326.73095253846213,12.934542
43,prim,1,10000,184354,9999,0,326.73095253846185,21.505334
43,boruvka_seq,1,10000,184354,9999,6,326.73095253846026,6.713458
43,boruvka_omp,1,10000,184354,9999,6,326.73095253846026,5.432500
44,kruskal,1,10000,184366,9999,0,323.83537987939934,12.965750
44,prim,1,10000,184366,9999,0,323.83537987939957,21.728708
44,boruvka_seq,1,10000,184366,9999,5,323.83537987939923,5.861167
44,boruvka_omp,1,10000,184366,9999,5,323.83537987939923,4.937375
45,kruskal,1,10000,184924,9999,0,324.52210473834066,12.945000
45,prim,1,10000,184924,9999,0,324.52210473833986,22.687584
45,boruvka_seq,1,10000,184924,9999,5,324.52210473834049,6.188416
45,boruvka_omp,1,10000,184924,9999,5,324.52210473834049,5.085166
46,kruskal,1,10000,184796,9999,0,329.65852864047662,13.515583
46,prim,1,10000,184796,9999,0,329.6585286404773,21.719458
46,boruvka_seq,1,10000,184796,9999,6,329.65852864047736,6.728375
46,boruvka_omp,1,10000,184796,9999,6,329.65852864047736,5.480000
42,kruskal,1,100000,2305464,99999,0,2608.4798733574894,213.328041
42,prim,1,100000,2305464,99999,0,2608.4798733574921,460.530083
42,boruvka_seq,1,100000,2305464,99999,6,2608.4798733574535,96.394084
42,boruvka_omp,1,100000,2305464,99999,6,2608.4798733574535,74.340333
43,kruskal,1,100000,2302077,99999,0,2609.4861849775939,213.732084
43,prim,1,100000,2302077,99999,0,2609.4861849775862,495.185292
43,boruvka_seq,1,100000,2302077,99999,7,2609.4861849776184,104.142750
43,boruvka_omp,1,100000,2302077,99999,7,2609.4861849776184,75.752000
44,kruskal,1,100000,2303513,99999,0,2611.2874901384184,212.923500
44,prim,1,100000,2303513,99999,0,2611.2874901384193,493.916667
44,boruvka_seq,1,100000,2303513,99999,7,2611.2874901383889,110.786042
44,boruvka_omp,1,100000,2303513,99999,7,2611.2874901383889,87.054125
45,kruskal,1,100000,2303420,99999,0,2615.8392344644444,213.261125
45,prim,1,100000,2303420,99999,0,2615.8392344644426,500.914583
45,boruvka_seq,1,100000,2303420,99999,6,2615.8392344644426,99.153291
45,boruvka_omp,1,100000,2303420,99999,6,2615.8392344644426,72.256334
46,kruskal,1,100000,2304449,99999,0,2609.0395902413525,214.937000
46,prim,1,100000,2304449,99999,0,2609.0395902413379,471.050167
46,boruvka_seq,1,100000,2304449,99999,7,2609.0395902413411,110.383167
46,boruvka_omp,1,100000,2304449,99999,7,2609.0395902413411,80.823917
42,kruskal,1,1000000,27637379,999999,0,21724.460352419392,3573.474041
42,prim,1,1000000,27637379,999999,0,21724.460352419454,13449.391167
42,boruvka_seq,1,1000000,27637379,999999,8,21724.460352420145,1889.227625
42,boruvka_omp,1,1000000,27637379,999999,8,21724.460352420145,1374.643334
43,kruskal,1,1000000,27635209,999999,0,21746.778806437767,3559.227375
43,prim,1,1000000,27635209,999999,0,21746.77880643784,13472.498208
43,boruvka_seq,1,1000000,27635209,999999,8,21746.77880643804,1828.942875
43,boruvka_omp,1,1000000,27635209,999999,8,21746.77880643804,1342.099083
44,kruskal,1,1000000,27639724,999999,0,21758.770228581659,3527.813250
44,prim,1,1000000,27639724,999999,0,21758.770228581234,13708.425542
44,boruvka_seq,1,1000000,27639724,999999,8,21758.770228580783,1910.602875
44,boruvka_omp,1,1000000,27639724,999999,8,21758.770228580783,1366.338334
45,kruskal,1,1000000,27632730,999999,0,21801.874720431177,3555.928250
45,prim,1,1000000,27632730,999999,0,21801.874720431621,13569.317209
45,boruvka_seq,1,1000000,27632730,999999,8,21801.874720430143,1831.711458
45,boruvka_omp,1,1000000,27632730,999999,8,21801.874720430143,1341.388000
46,kruskal,1,1000000,27629303,999999,0,21730.590119487493,3558.486250
46,prim,1,1000000,27629303,999999,0,21730.590119487486,13670.672500
46,boruvka_seq,1,1000000,27629303,999999,8,21730.590119488392,1807.203167
46,boruvka_omp,1,1000000,27629303,999999,8,21730.590119488392,1314.508750
