seed,algo,threads,n,m,mst_edges,rounds,total_weight,wall_ms
42,boruvka_omp,1,100000,2305464,99999,6,2608.4798733574535,73.067250
43,boruvka_omp,1,100000,2302077,99999,7,2609.4861849776184,77.268000
44,boruvka_omp,1,100000,2303513,99999,7,2611.2874901383889,82.069666
45,boruvka_omp,1,100000,2303420,99999,6,2615.8392344644426,72.993375
46,boruvka_omp,1,100000,2304449,99999,7,2609.0395902413411,80.868459
42,boruvka_omp,2,100000,2305464,99999,6,2608.4798733574535,57.400750
43,boruvka_omp,2,100000,2302077,99999,7,2609.4861849776184,60.676083
44,boruvka_omp,2,100000,2303513,99999,7,2611.2874901383889,61.909750
45,boruvka_omp,2,100000,2303420,99999,6,2615.8392344644426,58.522875
46,boruvka_omp,2,100000,2304449,99999,7,2609.0395902413411,67.629917
42,boruvka_omp,4,100000,2305464,99999,6,2608.4798733574535,54.455625
43,boruvka_omp,4,100000,2302077,99999,7,2609.4861849776184,50.675375
44,boruvka_omp,4,100000,2303513,99999,7,2611.2874901383889,51.071042
45,boruvka_omp,4,100000,2303420,99999,6,2615.8392344644426,53.019333
46,boruvka_omp,4,100000,2304449,99999,7,2609.0395902413411,52.740083
42,boruvka_omp,6,100000,2305464,99999,6,2608.4798733574535,47.947958
43,boruvka_omp,6,100000,2302077,99999,7,2609.4861849776184,51.431708
44,boruvka_omp,6,100000,2303513,99999,7,2611.2874901383889,49.466500
45,boruvka_omp,6,100000,2303420,99999,6,2615.8392344644426,47.348584
46,boruvka_omp,6,100000,2304449,99999,7,2609.0395902413411,49.925209
42,boruvka_omp,8,100000,2305464,99999,6,2608.4798733574535,48.260416
43,boruvka_omp,8,100000,2302077,99999,7,2609.4861849776184,46.783750
44,boruvka_omp,8,100000,2303513,99999,7,2611.2874901383889,47.419416
45,boruvka_omp,8,100000,2303420,99999,6,2615.8392344644426,47.125583
46,boruvka_omp,8,100000,2304449,99999,7,2609.0395902413411,48.011000
42,boruvka_omp,10,100000,2305464,99999,6,2608.4798733574535,48.238833
43,boruvka_omp,10,100000,2302077,99999,7,2609.4861849776184,48.650959
44,boruvka_omp,10,100000,2303513,99999,7,2611.2874901383889,49.655958
45,boruvka_omp,10,100000,2303420,99999,6,2615.8392344644426,52.476916
46,boruvka_omp,10,100000,2304449,99999,7,2609.0395902413411,47.873125
