seed,algo,threads,n,m,mst_edges,rounds,total_weight,wall_ms
42,boruvka_omp,1,1000,13767,999,5,43.395280676948154,0.785125
43,boruvka_omp,1,1000,13728,999,4,42.892353113458235,0.634125
44,boruvka_omp,1,1000,13918,999,5,40.763888251452286,0.779625
45,boruvka_omp,1,1000,13697,999,4,46.594022383337816,0.618417
46,boruvka_omp,1,1000,13798,999,5,45.944970941180379,0.677042
42,boruvka_omp,10,1000,13767,999,5,43.395280676948154,1.048000
43,boruvka_omp,10,1000,13728,999,4,42.892353113458235,0.849583
44,boruvka_omp,10,1000,13918,999,5,40.763888251452286,0.973959
45,boruvka_omp,10,1000,13697,999,4,46.594022383337816,0.973292
46,boruvka_omp,10,1000,13798,999,5,45.944970941180379,1.124166
42,boruvka_omp,1,10000,184724,9999,6,326.04267507160745,5.209542
43,boruvka_omp,1,10000,184354,9999,6,326.73095253846026,5.370875
44,boruvka_omp,1,10000,184366,9999,5,323.83537987939923,5.033667
45,boruvka_omp,1,10000,184924,9999,5,324.52210473834049,4.846625
46,boruvka_omp,1,10000,184796,9999,6,329.65852864047736,5.429084
42,boruvka_omp,10,10000,184724,9999,6,326.04267507160745,4.403667
43,boruvka_omp,10,10000,184354,9999,6,326.73095253846026,4.560667
44,boruvka_omp,10,10000,184366,9999,5,323.83537987939923,4.010958
45,boruvka_omp,10,10000,184924,9999,5,324.52210473834049,4.129959
46,boruvka_omp,10,10000,184796,9999,6,329.65852864047736,4.377042
42,boruvka_omp,1,100000,2305464,99999,6,2608.4798733574535,72.248583
43,boruvka_omp,1,100000,2302077,99999,7,2609.4861849776184,76.302500
44,boruvka_omp,1,100000,2303513,99999,7,2611.2874901383889,80.898167
45,boruvka_omp,1,100000,2303420,99999,6,2615.8392344644426,74.828958
46,boruvka_omp,1,100000,2304449,99999,7,2609.0395902413411,81.926541
42,boruvka_omp,10,100000,2305464,99999,6,2608.4798733574535,47.482875
43,boruvka_omp,10,100000,2302077,99999,7,2609.4861849776184,48.853167
44,boruvka_omp,10,100000,2303513,99999,7,2611.2874901383889,47.783209
45,boruvka_omp,10,100000,2303420,99999,6,2615.8392344644426,46.083291
46,boruvka_omp,10,100000,2304449,99999,7,2609.0395902413411,49.859167
42,boruvka_omp,1,1000000,27637379,999999,8,21724.460352420145,1346.937917
43,boruvka_omp,1,1000000,27635209,999999,8,21746.77880643804,1358.948209
44,boruvka_omp,1,1000000,27639724,999999,8,21758.770228580783,1368.894875
45,boruvka_omp,1,1000000,27632730,999999,8,21801.874720430143,1351.427708
46,boruvka_omp,1,1000000,27629303,999999,8,21730.590119488392,1308.461375
42,boruvka_omp,10,1000000,27637379,999999,8,21724.460352420145,863.321958
43,boruvka_omp,10,1000000,27635209,999999,8,21746.77880643804,851.264542
44,boruvka_omp,10,1000000,27639724,999999,8,21758.770228580783,855.560625
45,boruvka_omp,10,1000000,27632730,999999,8,21801.874720430143,864.960083
46,boruvka_omp,10,1000000,27629303,999999,8,21730.590119488392,852.575000
