seed,algo,threads,n,m,mst_edges,rounds,total_weight,wall_ms
42,boruvka_seq,1,100,909,99,4,7.5455296916630834,0.040375
43,boruvka_seq,1,100,875,99,3,7.2507771938655763,0.032709
44,boruvka_seq,1,100,927,99,4,6.3589374229944724,0.040750
45,boruvka_seq,1,100,942,99,3,6.6281752398335723,0.035125
46,boruvka_seq,1,100,945,99,4,5.2785820483587109,0.036500
42,boruvka_seq,1,1000,13767,999,5,43.395280676948154,0.504750
43,boruvka_seq,1,1000,13728,999,4,42.892353113458235,0.420000
44,boruvka_seq,1,1000,13918,999,5,40.763888251452286,0.501375
45,boruvka_seq,1,1000,13697,999,4,46.594022383337816,0.443958
46,boruvka_seq,1,1000,13798,999,5,45.944970941180379,0.495750
42,boruvka_seq,1,10000,184724,9999,6,326.04267507160745,6.751750
43,boruvka_seq,1,10000,184354,9999,6,326.73095253846026,6.662667
44,boruvka_seq,1,10000,184366,9999,5,323.83537987939923,5.920250
45,boruvka_seq,1,10000,184924,9999,5,324.52210473834049,5.871458
46,boruvka_seq,1,10000,184796,9999,6,329.65852864047736,6.794459
42,boruvka_seq,1,100000,2305464,99999,6,2608.4798733574535,95.408541
43,boruvka_seq,1,100000,2302077,99999,7,2609.4861849776184,105.079333
44,boruvka_seq,1,100000,2303513,99999,7,2611.2874901383889,111.241459
45,boruvka_seq,1,100000,2303420,99999,6,2615.8392344644426,99.004917
46,boruvka_seq,1,100000,2304449,99999,7,2609.0395902413411,110.622458
42,boruvka_seq,1,1000000,27637379,999999,8,21724.460352420145,1851.455583
43,boruvka_seq,1,1000000,27635209,999999,8,21746.77880643804,1849.433916
44,boruvka_seq,1,1000000,27639724,999999,8,21758.770228580783,2040.021750
45,boruvka_seq,1,1000000,27632730,999999,8,21801.874720430143,1884.293792
46,boruvka_seq,1,1000000,27629303,999999,8,21730.590119488392,1877.609375
