threads,seed,round,setup_ms,scan_ms,merge_ms,contract_ms,edges_added,components_in,components_out
1,42,0,0.105250,8.217292,0.151667,2.127292,75033,100000,24967
1,42,1,0.216917,6.606833,0.266250,1.027959,19890,24967,5077
1,42,2,0.129375,5.586875,0.155291,0.283708,4219,5077,858
1,42,3,0.114167,4.683834,0.125209,0.107625,738,858,120
1,42,4,0.114458,4.387834,0.132750,0.055250,104,120,16
1,42,5,0.105667,5.912333,0.138875,0.032625,15,16,1
1,43,0,0.105041,8.153958,0.109625,2.343375,74938,100000,25062
1,43,1,0.224333,6.632500,0.254916,1.001583,19945,25062,5117
1,43,2,0.132167,5.679750,0.156292,0.311584,4256,5117,861
1,43,3,0.116875,4.892250,0.123084,0.099958,734,861,127
1,43,4,0.108500,4.415458,0.153708,0.053959,111,127,16
1,43,5,0.102792,5.536875,0.158708,0.032834,14,16,2
1,43,6,0.098041,3.999750,0.160625,0.033875,1,2,1
1,44,0,0.112125,8.129584,0.120791,2.132334,74934,100000,25066
1,44,1,0.230833,6.623334,0.284666,1.008417,19950,25066,5116
1,44,2,0.136208,5.702541,0.177125,0.298417,4226,5116,890
1,44,3,0.116917,5.059042,0.124208,0.118167,750,890,140
1,44,4,0.106958,4.257292,0.151791,0.045750,123,140,17
1,44,5,0.096541,5.561500,0.136959,0.038167,15,17,2
1,44,6,0.095750,8.554708,0.146208,0.029500,1,2,1
1,45,0,0.120500,8.241375,0.108750,2.180292,75009,100000,24991
1,45,1,0.221542,6.513375,0.279833,0.963875,19794,24991,5197
1,45,2,0.132250,5.631958,0.149167,0.293125,4332,5197,865
1,45,3,0.118167,4.916750,0.142083,0.114791,722,865,143
1,45,4,0.105709,4.305834,0.126417,0.048958,122,143,21
1,45,5,0.100291,6.128917,0.121250,0.032959,20,21,1
1,46,0,0.105500,8.253917,0.109375,2.374625,75077,100000,24923
1,46,1,0.232417,6.682083,0.268250,1.076584,19792,24923,5131
1,46,2,0.134916,5.735084,0.148041,0.299042,4246,5131,885
1,46,3,0.115334,4.836958,0.120042,0.094834,752,885,133
1,46,4,0.107417,4.406958,0.130167,0.048750,114,133,19
1,46,5,0.097000,5.515875,0.126791,0.035417,17,19,2
1,46,6,0.097500,9.172250,0.130042,0.029083,1,2,1
10,42,0,0.174250,3.354625,0.652500,2.444417,75033,100000,24967
10,42,1,0.319792,1.315541,0.390625,0.979667,19890,24967,5077
10,42,2,0.187125,1.383084,0.284875,0.410916,4219,5077,858
10,42,3,0.224333,0.685167,0.129292,0.141458,738,858,120
10,42,4,0.227625,0.521000,0.181000,0.062333,104,120,16
10,42,5,0.220000,0.936250,0.152500,0.032459,15,16,1
10,43,0,0.164375,1.832375,0.674084,2.784834,74938,100000,25062
10,43,1,0.310791,1.309042,0.380666,1.301333,19945,25062,5117
10,43,2,0.213125,0.868041,0.208125,0.397750,4256,5117,861
10,43,3,0.194292,0.660125,0.139916,0.142375,734,861,127
10,43,4,0.289084,0.595125,0.162042,0.056458,111,127,16
10,43,5,0.195000,0.730459,0.113625,0.046875,14,16,2
10,43,6,0.251500,0.474458,0.107458,0.036208,1,2,1
10,44,0,0.166875,3.328500,0.723500,2.630709,74934,100000,25066
10,44,1,0.273042,2.451000,0.426833,1.401625,19950,25066,5116
10,44,2,0.242083,0.942292,0.241458,0.398916,4226,5116,890
10,44,3,0.199791,0.675834,0.135875,0.134834,750,890,140
10,44,4,0.222458,0.521125,0.096958,0.065583,123,140,17
10,44,5,0.223292,0.635958,0.105333,0.040625,15,17,2
10,44,6,0.207542,0.961459,0.148791,0.037209,1,2,1
10,45,0,0.161792,3.152959,0.818542,2.430333,75009,100000,24991
10,45,1,0.317292,2.050208,0.555666,1.510458,19794,24991,5197
10,45,2,0.257333,0.911542,0.225834,0.405917,4332,5197,865
10,45,3,0.171166,0.906667,0.156958,0.189917,722,865,143
10,45,4,0.290708,0.608542,0.109500,0.057000,122,143,21
10,45,5,0.224834,0.708292,0.108625,0.040208,20,21,1
10,46,0,0.292334,2.396708,0.715458,2.345625,75077,100000,24923
10,46,1,0.267583,1.894083,0.385750,1.008834,19792,24923,5131
10,46,2,0.207458,0.911791,0.233375,0.434542,4246,5131,885
10,46,3,0.223958,1.073958,0.154459,0.172292,752,885,133
10,46,4,0.346542,0.644541,0.127709,0.049542,114,133,19
10,46,5,0.269208,0.863458,0.164459,0.056250,17,19,2
10,46,6,0.257417,1.249500,0.142917,0.043375,1,2,1
