density,p,threads,n,seed,m,wall_ms
sparse,0.00004,1,100000,42,200316,14.957125
sparse,0.00004,2,100000,42,200316,12.720083
sparse,0.00004,4,100000,42,200316,11.350834
sparse,0.00004,6,100000,42,200316,11.564459
sparse,0.00004,8,100000,42,200316,11.248709
sparse,0.00004,10,100000,42,200316,11.866042
sparse,0.00004,1,100000,43,199680,14.823625
sparse,0.00004,2,100000,43,199680,12.079333
sparse,0.00004,4,100000,43,199680,11.048292
sparse,0.00004,6,100000,43,199680,11.392250
sparse,0.00004,8,100000,43,199680,11.252125
sparse,0.00004,10,100000,43,199680,12.275334
sparse,0.00004,1,100000,44,199612,15.386125
sparse,0.00004,2,100000,44,199612,12.413125
sparse,0.00004,4,100000,44,199612,11.873166
sparse,0.00004,6,100000,44,199612,11.987708
sparse,0.00004,8,100000,44,199612,11.300166
sparse,0.00004,10,100000,44,199612,11.703042
sparse,0.00004,1,100000,45,199752,15.220250
sparse,0.00004,2,100000,45,199752,12.330791
sparse,0.00004,4,100000,45,199752,10.979375
sparse,0.00004,6,100000,45,199752,11.334042
sparse,0.00004,8,100000,45,199752,11.641958
sparse,0.00004,10,100000,45,199752,11.781250
sparse,0.00004,1,100000,46,200432,14.968000
sparse,0.00004,2,100000,46,200432,12.282959
sparse,0.00004,4,100000,46,200432,11.314542
sparse,0.00004,6,100000,46,200432,11.310583
sparse,0.00004,8,100000,46,200432,11.504625
sparse,0.00004,10,100000,46,200432,11.963375
log,0.00046,1,100000,42,2302598,85.130250
log,0.00046,2,100000,42,2302598,62.753291
log,0.00046,4,100000,42,2302598,52.662042
log,0.00046,6,100000,42,2302598,51.933583
log,0.00046,8,100000,42,2302598,47.463667
log,0.00046,10,100000,42,2302598,45.805667
log,0.00046,1,100000,43,2299336,73.720750
log,0.00046,2,100000,43,2299336,58.322875
log,0.00046,4,100000,43,2299336,49.040750
log,0.00046,6,100000,43,2299336,47.755208
log,0.00046,8,100000,43,2299336,49.620542
log,0.00046,10,100000,43,2299336,47.467917
log,0.00046,1,100000,44,2300951,71.226333
log,0.00046,2,100000,44,2300951,57.857750
log,0.00046,4,100000,44,2300951,49.989125
log,0.00046,6,100000,44,2300951,49.503542
log,0.00046,8,100000,44,2300951,47.881834
log,0.00046,10,100000,44,2300951,48.511084
log,0.00046,1,100000,45,2300931,85.107958
log,0.00046,2,100000,45,2300931,61.971542
log,0.00046,4,100000,45,2300931,52.512916
log,0.00046,6,100000,45,2300931,49.065458
log,0.00046,8,100000,45,2300931,48.982167
log,0.00046,10,100000,45,2300931,49.565625
log,0.00046,1,100000,46,2302872,82.055250
log,0.00046,2,100000,46,2302872,63.435250
log,0.00046,4,100000,46,2302872,53.334125
log,0.00046,6,100000,46,2302872,51.941709
log,0.00046,8,100000,46,2302872,50.327875
log,0.00046,10,100000,46,2302872,50.462959
medium,0.001,1,100000,42,5002067,158.157500
medium,0.001,2,100000,42,5002067,123.551125
medium,0.001,4,100000,42,5002067,102.909334
medium,0.001,6,100000,42,5002067,95.516500
medium,0.001,8,100000,42,5002067,90.608583
medium,0.001,10,100000,42,5002067,91.230459
medium,0.001,1,100000,43,4998574,160.973750
medium,0.001,2,100000,43,4998574,131.745875
medium,0.001,4,100000,43,4998574,105.600000
medium,0.001,6,100000,43,4998574,95.495875
medium,0.001,8,100000,43,4998574,95.659708
medium,0.001,10,100000,43,4998574,93.896583
medium,0.001,1,100000,44,4998839,172.023041
medium,0.001,2,100000,44,4998839,131.484209
medium,0.001,4,100000,44,4998839,109.849541
medium,0.001,6,100000,44,4998839,97.863334
medium,0.001,8,100000,44,4998839,93.854667
medium,0.001,10,100000,44,4998839,94.227917
medium,0.001,1,100000,45,5001070,164.551250
medium,0.001,2,100000,45,5001070,131.972292
medium,0.001,4,100000,45,5001070,106.973666
medium,0.001,6,100000,45,5001070,99.753584
medium,0.001,8,100000,45,5001070,101.758792
medium,0.001,10,100000,45,5001070,97.305375
medium,0.001,1,100000,46,5000924,162.869708
medium,0.001,2,100000,46,5000924,128.375917
medium,0.001,4,100000,46,5000924,112.195334
medium,0.001,6,100000,46,5000924,96.948459
medium,0.001,8,100000,46,5000924,92.467917
medium,0.001,10,100000,46,5000924,93.422167
