seed,algo,density,p,n,m,wall_ms,total_weight
42,kruskal,sparse,0.0004,10000,20045,1.484125,2746.0999669716693
42,prim,sparse,0.0004,10000,20045,2.308334,2746.099966971673
42,boruvka_seq,sparse,0.0004,10000,20045,1.389833,2746.099966971668
42,boruvka_omp,sparse,0.0004,10000,20045,1.736375,2746.099966971668
43,kruskal,sparse,0.0004,10000,19933,1.314708,2765.6358587411974
43,prim,sparse,0.0004,10000,19933,1.941625,2765.6358587411978
43,boruvka_seq,sparse,0.0004,10000,19933,1.346583,2765.6358587412005
43,boruvka_omp,sparse,0.0004,10000,19933,1.674917,2765.6358587412005
44,kruskal,sparse,0.0004,10000,19844,1.293958,2791.3894636819932
44,prim,sparse,0.0004,10000,19844,1.814333,2791.3894636819959
44,boruvka_seq,sparse,0.0004,10000,19844,1.180166,2791.3894636819805
44,boruvka_omp,sparse,0.0004,10000,19844,1.759042,2791.3894636819805
45,kruskal,sparse,0.0004,10000,19965,1.278125,2783.4438619123111
45,prim,sparse,0.0004,10000,19965,1.869583,2783.4438619123098
45,boruvka_seq,sparse,0.0004,10000,19965,1.305041,2783.4438619123098
45,boruvka_omp,sparse,0.0004,10000,19965,1.749667,2783.4438619123098
46,kruskal,sparse,0.0004,10000,19944,1.285166,2816.1533384910113
46,prim,sparse,0.0004,10000,19944,1.850875,2816.1533384910063
46,boruvka_seq,sparse,0.0004,10000,19944,1.315666,2816.1533384910013
46,boruvka_omp,sparse,0.0004,10000,19944,1.675792,2816.1533384910013
42,kruskal,log,0.003684,10000,184724,13.440583,326.11828408467733
42,prim,log,0.003684,10000,184724,23.430250,326.11828408467682
42,boruvka_seq,log,0.003684,10000,184724,5.718042,326.1182840846767
42,boruvka_omp,log,0.003684,10000,184724,4.975166,326.1182840846767
43,kruskal,log,0.003684,10000,184354,13.920625,327.60777545896008
43,prim,log,0.003684,10000,184354,22.645459,327.60777545895968
43,boruvka_seq,log,0.003684,10000,184354,7.262708,327.60777545895797
43,boruvka_omp,log,0.003684,10000,184354,5.649167,327.60777545895797
44,kruskal,log,0.003684,10000,184366,13.651958,323.23153335159253
44,prim,log,0.003684,10000,184366,21.884250,323.23153335159287
44,boruvka_seq,log,0.003684,10000,184366,7.293709,323.23153335159174
44,boruvka_omp,log,0.003684,10000,184366,5.629833,323.23153335159174
45,kruskal,log,0.003684,10000,184824,14.316791,327.74616779135306
45,prim,log,0.003684,10000,184824,23.489875,327.74616779135232
45,boruvka_seq,log,0.003684,10000,184824,7.122125,327.7461677913534
45,boruvka_omp,log,0.003684,10000,184824,5.812458,327.7461677913534
46,kruskal,log,0.003684,10000,184796,13.713458,329.44397375795228
46,prim,log,0.003684,10000,184796,22.885500,329.44397375795182
46,boruvka_seq,log,0.003684,10000,184796,6.110709,329.44397375795245
46,boruvka_omp,log,0.003684,10000,184796,5.237917,329.44397375795245
42,kruskal,dense,0.1,10000,5002003,517.682917,12.140489369075263
42,prim,dense,0.1,10000,5002003,1493.460083,12.140489369075247
42,boruvka_seq,dense,0.1,10000,5002003,136.330459,12.140489369075267
42,boruvka_omp,dense,0.1,10000,5002003,105.309833,12.140489369075267
43,kruskal,dense,0.1,10000,5003070,509.907250,12.039788431013795
43,prim,dense,0.1,10000,5003070,1394.120583,12.039788431013818
43,boruvka_seq,dense,0.1,10000,5003070,141.626125,12.039788431013811
43,boruvka_omp,dense,0.1,10000,5003070,101.786209,12.039788431013811
44,kruskal,dense,0.1,10000,5000366,512.497583,12.050678318772666
44,prim,dense,0.1,10000,5000366,1450.617083,12.050678318772645
44,boruvka_seq,dense,0.1,10000,5000366,165.025875,12.050678318772631
44,boruvka_omp,dense,0.1,10000,5000366,119.148084,12.050678318772631
45,kruskal,dense,0.1,10000,5002352,530.038666,12.21698911881224
45,prim,dense,0.1,10000,5002352,1385.098916,12.216989118812242
45,boruvka_seq,dense,0.1,10000,5002352,162.898709,12.216989118812227
45,boruvka_omp,dense,0.1,10000,5002352,115.283334,12.216989118812227
46,kruskal,dense,0.1,10000,5000470,540.549459,11.812945748533842
46,prim,dense,0.1,10000,5000470,1489.390250,11.812945748533851
46,boruvka_seq,dense,0.1,10000,5000470,168.561875,11.812945748533897
46,boruvka_omp,dense,0.1,10000,5000470,115.007708,11.812945748533897
